,BiasAdjustedAbsReturn,NaiveForecast,GARCHForecast,EGARCHForecast
2025-08-08,0.15453644035564348,0.0941487941901903,0.134118117431666,0.1311519733575469
2025-08-11,0.039380884671061905,0.094133335008789,0.1318219718400402,0.1235333980993782
2025-08-12,0.21069210796858182,0.0939712848049335,0.1233296070679351,0.121546776540507
2025-08-13,0.0679894607913323,0.0973874315900588,0.1309110983619027,0.116080401244113
2025-08-14,0.0018485843564796385,0.0974443337790413,0.1222762791671024,0.1087895549561908
2025-08-15,0.04663639702945788,0.097070997825838,0.1137815000049938,0.1023867956944072
2025-08-18,0.0043301169481070375,0.095569828689284,0.1083897230947726,0.104107697702325
2025-08-19,0.10823027362794822,0.0922632747650223,0.1019819385246398,0.0991501303863002
2025-08-20,0.05293495990809474,0.0941358645577148,0.1046606076771013,0.1115331526227166
2025-08-21,0.07997848212372255,0.0935174164549891,0.1011925944979386,0.1131394155051853
2025-08-22,0.3032133514551585,0.0942954950643456,0.1007553810393756,0.1188882926645168
2025-08-25,0.08775673131225338,0.1026279224492016,0.1335267422096566,0.1153779842164539
2025-08-26,0.08313086636877347,0.1038437924339892,0.1281017354092768,0.122110545103915
2025-08-27,0.045281849474218545,0.1030462791625232,0.1206517088671087,0.1143632054392544
2025-08-28,0.0703328200935112,0.1029017220818627,0.1126442467156456,0.1068839010308266
2025-08-29,0.11900816179726831,0.102100109456621,0.1068061103566975,0.1006998414805426
2025-09-02,0.1479814684347824,0.1040295610916658,0.1098365316882346,0.1147653477596979
2025-09-03,0.10753668412410423,0.1067469074765689,0.1163013988007286,0.1319238328459962
2025-09-04,0.1655822745585045,0.1076351140182309,0.1124765820972543,0.1234006225348668
2025-09-05,0.05770554889814419,0.1075434167287909,0.1158993257921491,0.1169225313836329
2025-09-08,0.048817406474421905,0.1080657642528095,0.1109194479122978,0.1186108675985882
2025-09-09,0.04594546744611887,0.1076830055322975,0.1044168210357599,0.1106923215202951
2025-09-10,0.057429865362530655,0.1077611319060606,0.0987962583617822,0.1036508255309697
2025-09-11,0.16465619420798672,0.1074652626539521,0.094493403922183,0.0976106005510351
2025-09-12,0.00665883552429839,0.1093541968569625,0.1020621070950604,0.0941211142748039
2025-09-15,0.1056432354720588,0.1084529726125673,0.096659549406059,0.0906253289912234
2025-09-16,0.02741488646752991,0.094861023951235,0.0962195080352786,0.0868598482174122
2025-09-17,0.024731255389287016,0.0868452887721573,0.0925509464443587,0.0873359158212758
2025-09-18,0.09274448700191744,0.085014172426572,0.0893594166164886,0.0873410362004708
2025-09-19,0.09829778083031401,0.0836131441862323,0.0891179623745961,0.0836989696959144
2025-09-22,0.09390579041455425,0.0838752784660775,0.0894459647726686,0.0805366739501895
2025-09-23,0.10859774790225446,0.082415340928708,0.089293685828791,0.077622949360397
2025-09-24,0.06340249693131983,0.0843262096927197,0.0949539857784927,0.0930744089579148
2025-09-25,0.09200075965479265,0.0807906773900974,0.094096410388567,0.0986193614957304
2025-09-26,0.11365813627621076,0.082080445483866,0.0964641789218442,0.1082669506446509
2025-09-29,0.0558375054401401,0.0832873446386325,0.0968845295132622,0.1026755618740506
2025-09-30,0.07480318690697102,0.0828522300092046,0.0928190415243783,0.0967175491786904
2025-10-01,0.06768094003310582,0.0830938704630999,0.0905094342201736,0.0917503995589346
2025-10-02,0.022901393169923352,0.0808218325993227,0.0881462558228662,0.0871993286096417
2025-10-03,0.0002927371518164452,0.0798445448615162,0.0846262215674104,0.0823533092928518
2025-10-06,0.07122208543243291,0.0781870521046364,0.081469377125907,0.0787969522815728
2025-10-07,0.07390083040089883,0.0673366700098096,0.0809056996095036,0.0755836916351614
2025-10-08,0.11828710105357582,0.0668407194474966,0.0840150670457165,0.0850465942365815
2025-10-09,0.05772111952001888,0.0676593352046127,0.0875233269095339,0.0819790464352518
2025-10-10,0.545140084851118,0.0688015164556546,0.0875481486124606,0.0879162919089934
2025-10-13,0.3029642034675255,0.1076499000263832,0.2022386144207316,0.2207298400559514
2025-10-14,0.024320421683175407,0.1142402926000042,0.2060074254300365,0.203251226448954
2025-10-15,0.08813226710153564,0.1116373568152726,0.1875000616917943,0.1883949982219032
2025-10-16,0.1359598754219905,0.111354802262895,0.1722110602157217,0.1720713683323415
